wheel_1_Force_x,wheel_1_Force_y,wheel_1_Force_z,wheel_2_Force_x,wheel_2_Force_y,wheel_2_Force_z,wheel_3_Force_x,wheel_3_Force_y,wheel_3_Force_z,wheel_4_Force_x,wheel_4_Force_y,wheel_4_Force_z,,,
1.3869316E-05,-0.00011095505,80.6165,0.00010665478,-0.0008532383,214.9939,-0.0018143606,0.0018143677,80.00249,0,0,225.29834,,,600.91123
0,0,79.44262,0,0,201.05118,2.7952376E-12,-8.580022E-12,76.61498,0,0,197.43385,,,554.54263
0,0,120.5517,0,0,145.71593,-6.990806E-13,2.545579E-12,120.39481,0,0,132.97739,,,519.63983
7.326784E-06,-5.8614285E-05,78.33049,0,0,208.56793,-1.8872677E-12,-2.04094E-12,75.26862,0,0,205.34021,,,567.50725
0,0,83.71333,0,0,198.2221,9.6003275E-11,-3.3101602E-10,79.59391,0,0,196.11838,,,557.64772
0,0,127.91783,0,0,165.9848,-5.879199E-12,1.4970267E-12,124.273384,0,0,172.0448,,,590.220814
0,0,129.53589,0,0,165.42702,-1.5044186E-12,1.5154023E-12,121.24774,0,0,173.33942,,,589.55007
0,0,122.692184,0,0,169.03152,-7.757296E-12,3.5083002E-12,116.048035,0,0,179.51129,,,587.283029
0,0,79.21407,0,0,209.69969,0,0,82.43436,0,0,211.60254,,,582.95066
0,0,127.44293,0,0,134.92966,-4.0944683E-12,-5.094287E-12,123.657646,0,0,122.39412,,,508.424356
0,0,128.98755,0,0,157.8676,-2.2915036E-12,-3.0309347E-12,126.307755,0,0,156.17877,,,569.341675
0,0,118.98959,0,0,176.66638,-3.000355E-12,2.2863573E-12,132.12611,0,0,158.61693,,,586.39901
0,0,113.18675,0,0,163.43054,-1.8283482E-11,-8.949044E-12,133.89377,0,0,147.80342,,,558.31448
0,0,126.7119,0,0,160.15536,1.1158634E-12,1.1757292E-12,121.98465,0,0,167.6822,,,576.53411
0,0,126.84226,0,0,153.42444,-1.5838023E-12,2.6578926E-12,113.1026,-1.806553E-05,0.00014452437,146.15663,,,539.52593
0,0,124.60724,0,0,157.05489,-1.2005802E-12,-3.6475315E-13,114.49658,0,0,142.08765,,,538.24636
0,0,73.092865,0,0,212.67963,0,0,92.424805,0,0,205.33675,,,583.53405
1.6758677E-05,-0.00013406931,81.57095,0.00010436407,-0.0008349132,205.5303,0,0,86.41143,0,0,208.16634,,,581.67902
0,0,119.30022,0,0,172.14938,0,0.012372827,131.7045,-6.961324E-05,0.0005569059,164.08842,,,587.24252
0,0,79.40093,0,0,202.34389,0,0,91.46817,0,0,207.6914,,,580.90439
0,0,127.80198,0,0,164.86916,-2.2058163E-12,5.2226825E-12,126.71329,0,0,165.17926,,,584.56369
0,0,125.90558,0,0,145.14728,1.5390007E-12,2.7024966E-12,129.86632,0,0,144.6535,,,545.57268
0,0,114.73766,0,0,170.48962,-3.9200596E-12,1.13527636E-13,136.05289,0,0,146.35709,,,567.63726
0,0,119.02104,0,0,167.2211,-1.0604387E-12,4.3670693E-13,131.04385,0,0,147.63019,,,564.91618
0,0,124.10843,0,0,164.14941,1.7306917E-13,2.8397979E-14,125.13843,0,0,167.75104,,,581.14731
0,0,117.887085,0,0,169.02376,-2.621191E-12,7.519073E-13,134.88234,0,0,153.26352,,,575.056705
0,0,129.57779,0,0,150.46246,-4.612974E-12,2.5685257E-12,124.811104,0,0,151.6775,,,556.528854
0,0,128.98796,0,0,156.31157,-4.047281E-12,5.0141176E-12,122.52404,0,0,160.90015,,,568.72372
0,0,123.6165,0,0,137.89355,-1.6815912E-12,1.9892944E-12,120.20606,0,0,126.886536,,,508.602646
0,0,125.721436,0,0,158.5786,-8.086722E-13,1.1756274E-12,112.346535,0,0,150.6514,,,547.297971
0,0,116.51599,0,0,160.0127,-1.7785872E-12,3.0387422E-12,140.24954,0,0,140.32613,,,557.10436
0,0,127.583,0,0,158.34612,6.695034E-13,7.5347E-12,125.587524,0,0,147.0574,,,558.574044
0,0,126.22936,0,0,148.74045,-1.828863E-12,2.1234418E-12,120.40959,0,0,126.88179,,,522.26119
0,0,131.68024,0,0,159.2029,4.245571E-12,1.2222161E-12,119.73154,0,0,162.67946,,,573.29414
0,0,119.75221,0,0,140.05113,-3.750025E-12,1.0532928E-12,123.08762,0,0,131.32986,,,514.22082
3.9703307E-05,-0.00031762625,107.55432,0,0,193.52745,-7.9620754E-12,0.010926645,127.37743,-7.469348E-05,0.00059754786,173.33208,,,601.79128
0,0,116.72767,0,0,160.3636,-5.4151744E-12,2.0607496E-12,120.54847,0,0,141.31177,,,538.95151
